Cluster,DELINQUENCY,FEDFUNDS,GDP,GOLD,SP500,T10Y2Y,T10Y3M,UNEMPLOY,WTICRUDE
0.0,0.13521428235405675,0.1744262620430901,0.02929235029994636,-0.02930913260961567,0.044138215602662796,-542.2500000002758,-1.9394572025052166,-0.02100498283001976,0.35278017418453644
1.0,0.13202534614543127,0.1807851065216468,0.02986438693730535,-0.026000517458528848,0.051229277127840214,-56.98248106060947,-1.8419054807397355,-0.020254900166445627,0.35161735522189685
2.0,0.1288075267419023,0.17953515170028309,0.02998610746038445,-0.019350167102726225,0.054202444861925984,-21.034211946766387,-1.6606551532581788,-0.01584776271903342,0.34700827269965795
3.0,0.16709060949468696,-0.4587671322697401,0.009268856526089986,0.018395387074600898,-0.007840940865067448,0.5771209936886388,0.5639465652513898,0.1418289001860949,-0.018244669319771506
4.0,0.02246283867470711,0.17150171696567315,0.028366778870307186,0.06087446668791574,0.09935081710570318,-4.292176614937907,-2.0194288067710295,-0.03409101281458438,0.2279426280066067
5.0,-0.11585710447266355,0.34442282194053925,0.026038631982238755,0.07893056922652932,0.09134974147341032,-1.1504124950770545,-1.0669148087515599,-0.04693856557204906,0.1498482980286599
6.0,-0.17144346691114976,-0.05393879362896599,0.024030665304708397,0.03852878242173948,0.09944470670402693,-0.07301153595900907,-0.024553656848782232,-0.04725984739024921,0.018042307975689315
7.0,-0.07193563187272926,0.1527450061116465,0.026940422119329788,-0.02923968715622273,0.12232824323049944,-0.5552767445470583,-0.6336473320822658,-0.05108682220561591,-0.05942389677551066
8.0,0.03467517166490962,-0.07667585537266196,0.01550092962727356,0.17849283076330444,0.06467646720566286,4.70932584832125,9.652769545200021,0.03747729060427366,0.24684500040393667
9.0,0.20211816215816023,-0.35329446993265445,0.005890597488084274,0.07688425406493851,-0.043401934040194025,2.5096652735785705,2.4011890723465137,0.15628182696993553,0.09763176835465083
10.0,-0.020831389051148445,0.7404594440739553,0.02131993613411939,0.028552680007922052,0.07118430980270161,-0.3634756618954363,-0.23544757847503622,-0.07487813742726698,0.07862478031394009
11.0,0.15370999216787637,-0.11430256391687443,0.015035708571231553,-0.0256916480354064,-0.04393337220406067,6.584327308624488,1.1622484794425822,0.06770709083868254,0.14731198268706333
12.0,0.16548426841415256,0.04661261199720505,0.021440512762919355,-0.03666771912001969,-0.04690531387135212,18.1017824936792,-1.482855644591398,0.0161088354427538,0.13291537244956994
13.0,0.14785327907270432,0.14230558590349743,0.02700732991709556,-0.032562767259721376,0.01187906416412234,68.30681818181797,-2.0438826921787547,-0.015390766484503734,0.29281879328314914
14.0,-0.02505477075062245,-0.0005422392149944516,0.016145664247899247,0.10976811536623249,0.08565985908496924,6.6108178231402315,27.553119028662255,0.0166047016433788,0.16696497475836405
